21Q1,Disc,List,Prem,Total Sales,% Prem,Avg Close Price (000s)
28th/Baseline,3,,,3,0%,418
30th/Colorado,3,,,3,0%,640
44th Industrial Park,,,1,1,100%,395
Acres Green,1,1,9,11,82%,497
Adams City,,3,10,13,77%,330
Adonea,1,11,12,24,50%,440
Alkire Estates,3,2,8,13,62%,773
Alton Park,14,5,30,49,61%,296
Antelope Meadows,,1,4,5,80%,358
Anthem Highlands,12,3,15,30,50%,743
Anthem Ranch,9,4,9,22,41%,713
Apache Mesa,3,7,10,20,50%,360
Apple Meadows,,1,7,8,88%,490
Applewood Glen,3,,8,11,73%,809
Applewood Glen 2,1,1,1,3,33%,785
Applewood View,,,4,4,100%,880
Applewood Village,,1,4,5,80%,587
Applewood West,4,1,10,15,67%,748
Arapahoe Ridge,,,1,1,100%,907
Araphoe Airport Ctr,5,5,5,15,33%,320
Arrowhead,1,,2,3,67%,533
Arrowwood,,,1,1,100%,675
Aspen Creek,7,3,3,13,23%,905
Athmar Park,5,7,14,26,54%,433
Auburn Hills,,,6,6,100%,594
Aur Hts East,2,,4,6,67%,311
Aur Hts West,4,2,9,15,60%,315
Auraria,,1,,1,0%,770
Aurora Highland,8,14,26,48,54%,375
Aurora Hills,4,4,17,25,68%,366
Aurora Knolls,3,,15,18,83%,454
Aurora North,2,1,5,8,63%,355
Aurora NW,12,7,29,48,60%,361
Autumn Chase,,1,2,3,67%,267
Avery Park Neighborhood Association,,,2,2,100%,435
Baker North,8,5,10,23,43%,529
Banning Lewis Ranch,1,,3,4,75%,453
Barnum,5,5,19,29,66%,376
Barnum West,4,9,9,22,41%,422
Barr Lake,2,,,2,0%,674
Baxter Farm,1,,,1,0%,1680
Beacon Point,1,3,5,9,56%,664
Bear Creek (J),2,1,,3,0%,1012
Bear Dance,1,,,1,0%,1375
Bear Mountain Vista,1,,,1,0%,860
Bear Valley,4,6,13,23,57%,332
Belcaro,23,7,11,41,27%,1530
Bell Cross Ranch,,,1,1,100%,1440
Bell Mountain Ranch,1,3,1,5,20%,1104
Belle Creek,2,2,12,16,75%,387
Belle Pointe,,,2,2,100%,755
Belleview Farms,4,4,14,22,64%,482
Belmar Plaza,6,1,5,12,42%,489
Berkeley East,4,2,10,16,63%,800
Berkeley Gardens,3,,4,7,57%,542
Berkeley Heights,4,3,23,30,77%,539
Berkeley West,8,16,25,49,51%,725
Beverly Heights Estates,1,,1,2,50%,1385
Blackstone,5,5,5,15,33%,753
Blue Sky,1,,,1,0%,2175
Bluff Lake,1,1,4,6,67%,679
Bow Mar,,1,1,2,50%,3700
Bradburn,1,6,9,16,56%,523
Bradbury Hills,,,5,5,100%,583
Bradbury Ranch,,1,3,4,75%,487
Brandywine,,3,13,16,81%,526
Briargate North,9,1,15,25,60%,543
Briargate South,,,2,2,100%,511
Briargate West,1,,3,4,75%,444
Brighton,4,,15,19,79%,366
Brighton Crossing,19,6,30,55,55%,492
BRM Country Club,,1,2,3,67%,762
BRM Urban Transit Village,3,1,2,6,33%,435
Broadlands,3,6,16,25,64%,608
Broadmoor,5,1,2,8,25%,1640
Bromley Park,3,3,20,26,77%,423
Brookvale,2,1,24,27,89%,336
Brookview,7,6,9,22,41%,441
Broomfield Hts,1,1,4,6,67%,498
Brown Farm,1,,1,2,50%,428
Brownsville,1,,1,2,50%,736
Buffalo Mesa,1,2,13,16,81%,489
Butterfield,1,,,1,0%,1075
Caldwell Farms,1,,,1,0%,820
Calmante,2,,1,3,33%,898
Cambridge Park,2,2,3,7,43%,405
Candlelight Estates,,,1,1,100%,947
Candlelight Ridge,1,,,1,0%,1015
Canterberry Crossing,2,2,20,24,83%,600
Canyon Creek,3,,1,4,25%,517
Canyonview at Candelas,1,5,3,9,33%,691
Capitol Hill (D),54,25,32,111,29%,376
Carefree Circle,,1,6,7,86%,396
Caribou Springs Ranch,1,,,1,0%,3152
Carmody Estates,2,1,5,8,63%,567
Carolyn Heights,1,,,1,0%,4200
Carson Farms,1,,7,8,88%,526
Casa Grande,1,,,1,0%,349
Castle North,2,1,2,5,40%,428
Castle Oaks,4,12,24,40,60%,602
Castle Park Ranch,,,5,5,100%,349
Castle Pines Village,20,9,6,35,17%,1415
Castle Rock South,3,1,4,8,50%,1258
Castle South,2,,6,8,75%,415
Castlewood,2,,3,5,60%,768
Cathedral Pines,1,,2,3,67%,1876
CBD,20,5,4,29,14%,598
Cedar Heights,,,1,1,100%,1400
Centennial 1,1,,,1,0%,1575
Centennial Acres,2,1,,3,0%,2598
Centennial Heights,1,1,,2,0%,743
Centennial Valley,1,1,,2,0%,932
Central Park North,1,3,5,9,56%,696
Central Park West,1,1,2,4,50%,585
Centretech Park,6,5,6,17,35%,248
Chaffee Park,1,2,14,17,82%,556
Challenger Park Estates,,1,2,3,67%,675
Challenger Park Townhomes,,,2,2,100%,335
Chambers Heights,,,4,4,100%,325
Chapparal / Antelope,5,1,,6,0%,1395
Chatfield Bluffs North,2,7,13,22,59%,327
Chatfield East,11,5,17,33,52%,655
Chatfield Green,2,2,6,10,60%,641
Cheesman Park,29,15,7,51,14%,580
Chenango,3,1,,4,0%,1295
Cherry Creek,43,17,15,75,20%,1104
Cherry Creek Country Club,5,,,5,0%,1267
Cherry Hills Meadow,5,,1,6,17%,5334
Cherry Hills Park,1,,,1,0%,3210
Cherry Hills Village,4,,,4,0%,2584
Cherry Knolls,3,2,11,16,69%,556
Cherry Point,1,1,,2,0%,1894
Cherryvale / Hoover Hills,1,,,1,0%,1230
Cherrywood Park,6,5,25,36,69%,503
Chestnut,1,,,1,0%,215
Cheyenne Mountain Ranch,2,3,6,11,55%,569
Church Lake,,,2,2,100%,488
Cimarron Hills,,,5,5,100%,269
Circle Park,,,1,1,100%,912
City of Castle Pines,10,5,18,33,55%,860
City Park,10,,1,11,9%,794
City Park Heights,,,1,1,100%,425
City Park West,11,7,14,32,44%,608
City View Heights,1,,,1,0%,303
Civic Center,13,2,2,17,12%,574
Claremont Ranch,,,6,6,100%,367
Clarendon Hills,,1,,1,0%,750
Clarke Farms,1,2,15,18,83%,517
Clayton,4,2,7,13,54%,576
Clearview Estates,1,,,1,0%,445
Clover Meadows,2,2,11,15,73%,359
Cloverdale North,5,7,14,26,54%,423
Cloverdale South,2,3,15,20,75%,527
Club Crest,1,2,11,14,79%,439
Cole,7,4,4,15,27%,621
College View / South Platte,4,4,12,20,60%,392
Colliers Hill,3,2,5,10,50%,805
Collindale,1,1,1,3,33%,348
Colorado Golf Club,5,,,5,0%,2669
Columbine Hills,2,1,7,10,70%,554
Columbine Knolls,2,1,9,12,75%,636
Columbine Knolls South,1,2,6,9,67%,624
Columbine Lakes,1,1,2,4,50%,513
Columbine Ranches,5,8,13,26,50%,476
Columbine Valley,2,1,1,4,25%,1763
Columbine West,2,1,9,12,75%,461
Compark,4,3,11,18,61%,480
Compass,3,1,6,10,60%,641
Congress North,11,5,11,27,41%,445
Congress South,2,4,4,10,40%,870
Conifer Meadows,1,,1,2,50%,795
Conifer Mountain,,,3,3,100%,639
Conservatory,2,,12,14,86%,503
Conservatory Green,2,5,6,13,46%,701
Constitution Hills,,,1,1,100%,320
Copperleaf,9,12,16,37,43%,531
Cordera,1,,,1,0%,497
Coronado,3,4,17,24,71%,323
Cory Merrill East,5,3,6,14,43%,918
Cory Merrill West,6,,8,14,57%,1378
Cotton Creek,,,2,2,100%,516
Cottonwood (D),2,3,15,20,75%,418
Cottonwood Hills,1,,1,2,50%,1343
Cottonwood Park,1,,1,2,50%,301
Cottonwood South,1,5,13,19,68%,344
Cottrell Farms,,,1,1,100%,555
Country Club,6,8,8,22,36%,2203
Country Fields,,,1,1,100%,530
Country Meadows,,,3,3,100%,483
Countryside,,1,1,2,50%,328
Countryside East,3,1,16,20,80%,476
Countryside West,1,3,9,13,69%,517
Covenant,1,1,2,4,50%,605
Coventry,,,1,1,100%,547
Coyote Creek,2,2,19,23,83%,622
Coyote Creek North,7,3,18,28,64%,495
Coyote Creek South,1,2,14,17,82%,700
Cragmoor,,,1,1,100%,315
Creekside 1,1,,1,2,50%,408
Crest View,1,,,1,0%,875
Crestwood,,,1,1,100%,980
Cross Creek,2,3,3,8,38%,408
Cross Creek at Mesa Ridge,,,2,2,100%,300
Crystal Valley Ranch,23,7,39,69,57%,531
Cumbre Vista,,,2,2,100%,540
Dakota Ridge (B),,1,,1,0%,232
Dakota Ridge (L),,1,,1,0%,390
Dam West,1,2,21,24,88%,422
Davidson Highline,1,,,1,0%,793
Deer Creek Mesa,2,,,2,0%,2563
Deerfield,2,,,2,0%,725
Deerfield Hills,,,2,2,100%,306
Del Mar,3,2,15,20,75%,332
Divine Redeemer,1,1,1,3,33%,384
Douglass Ranch,1,,,1,0%,1700
Dry Creek MHP,1,1,2,4,50%,411
DTC,11,3,5,19,26%,568
Dutch Creek,,,1,1,100%,592
Eagle Ridge (J),1,1,5,7,71%,611
Eagle's Roost,2,6,7,15,47%,348
East 29th Avenue,6,4,13,23,57%,509
East Aurora,2,,3,5,60%,535
East Chautauqua,1,,,1,0%,1490
East Colfax,8,9,20,37,54%,389
East Foothills,1,1,,2,0%,963
East Ridge North,2,5,23,30,77%,567
Eastborough,,,1,1,100%,310
Eastbridge,2,2,12,16,75%,743
Eastlake (A),9,,18,27,67%,380
Eastlake (E),,1,,1,0%,275
Eastridge South,1,4,27,32,84%,591
Eden East HOA,,1,2,3,67%,265
El Pinal,1,,,1,0%,516
El Vista,4,3,5,12,42%,845
Elk Falls,1,1,5,7,71%,860
Elkhorn Estates,,1,,1,0%,480
Elyria Swansea,2,3,9,14,64%,338
Englewood,12,15,32,59,54%,571
Englewood East,4,2,2,8,25%,585
English Ranch,,1,1,2,50%,527
Erie Airpark,2,,,2,0%,1294
Erie Commons,3,1,3,7,43%,529
Erie Highlands,1,2,1,4,25%,725
Erie Village,,,1,1,100%,800
Evans Ranch,8,4,3,15,20%,1075
Evergreen Condos,1,,,1,0%,565
Evergreen Meadows,4,2,7,13,54%,968
Evergreen Meadows West,,,2,2,100%,681
Evergreen Park Estates,1,1,5,7,71%,815
Fairview Estates 2,,,1,1,100%,1015
Fairview Heights,4,2,20,26,77%,415
Falcon Estates,,,1,1,100%,441
Falcon Highlands,,,2,2,100%,567
Falcon Hills North,,,1,1,100%,445
Falcon West,1,1,1,3,33%,422
Five Points,49,24,34,107,32%,604
Flatiron Meadows,1,1,3,5,60%,563
Flatirons,2,,,2,0%,398
Flying Horse,3,1,2,6,33%,635
Foothills Green Neighborhood Association,,1,3,4,75%,461
Foothills Park,1,,,1,0%,435
Forest Glen,1,,1,2,50%,863
Forest Lakes,,,5,5,100%,596
Forest Meadows,,,3,3,100%,432
Forest Springs Northeast,4,3,16,23,70%,537
Forest Springs Northwest,4,6,8,18,44%,461
Fort Logan,11,14,24,49,49%,376
Fossil Lake,2,,1,3,33%,1552
Founders Village,5,5,42,52,81%,508
Fountain Green,1,1,2,4,50%,892
Fountain Valley Ranch II,,,1,1,100%,310
Four Mile Creek,1,,,1,0%,1175
Fox Run (A),3,3,36,42,86%,432
Foxstone Neighborhood,,,1,1,100%,435
Frasier Meadows,1,,,1,0%,440
Friendly Hills East,,1,17,18,94%,462
Friendly Hills West,,,14,14,100%,475
Fronterra,7,7,32,46,70%,432
Garden Ranch,,,3,3,100%,397
Gateway (D),3,6,37,46,80%,368
Gateway / Green Valley Ranch,1,4,7,12,58%,480
Gateway Park East,2,,2,4,50%,383
Genesee Northeast,10,2,6,18,33%,1199
Genesee Northwest,4,1,7,12,58%,922
Glen Ellen,5,4,13,22,59%,405
Glen Ellen 2,7,6,10,23,43%,433
Glen Ellen 3,6,5,23,34,68%,489
Glendale,3,1,1,5,20%,336
Gleneagle (A),9,4,12,25,48%,595
Gleneagle (E),3,,2,5,40%,572
Glenmoor of Cherry Hills,,1,,1,0%,3150
Globe Hts,,,1,1,100%,355
Globeville,2,5,8,15,53%,403
Gold Run HOA,1,,,1,0%,390
Goldbranch,,,1,1,100%,2531
Golden Hills,1,2,3,6,50%,781
Golden Town Center,4,1,9,14,64%,503
Goldsmith,4,2,2,8,25%,213
Goose Haven One,1,,,1,0%,2800
Governors Ranch East,1,2,11,14,79%,511
Governors Ranch West,2,1,4,7,57%,1096
Grandview (A),1,4,14,19,74%,348
Grandview (W),,,4,4,100%,389
Grandview Estates,1,,,1,0%,475
Grant,2,,,2,0%,1887
Great Western Reservoir,,,2,2,100%,593
Green Field,,3,5,8,63%,584
Green Gables Village,3,2,11,16,69%,583
Green Mountain,2,3,6,11,55%,714
Green Mountain Estates,4,,1,5,20%,506
Green Mountain Park,2,1,13,16,81%,519
Green Mountain Village,3,9,29,41,71%,443
Green Oaks,2,,7,9,78%,1664
Green Valley Ranch,1,,,1,0%,377
Greenhaven,,,1,1,100%,466
Greenway Park,,1,4,5,80%,428
Greenwood Plaza,8,,,8,0%,900
Greyhawk,1,,,1,0%,573
Grimes Ranch,,,1,1,100%,1360
Gun Barrel Green,2,1,3,6,50%,545
GVR Central,9,13,49,71,69%,437
GVR North,21,28,22,71,31%,389
GVR South,4,16,38,58,66%,386
Hale,16,12,28,56,50%,705
Hallcraft Village,5,2,11,18,61%,342
Hampden East,10,12,31,53,58%,383
Hampden South,34,11,39,84,46%,474
Hampden West,9,6,13,28,46%,287
Hampshire Pond,1,,,1,0%,385
Hangen Ranch,1,1,1,3,33%,876
Harmony Crossing,1,,,1,0%,415
Harvest Park,1,,1,2,50%,481
Harvest Ridge,3,,23,26,88%,404
Harvey East,5,3,20,28,71%,491
Harvey Park South,3,3,12,18,67%,470
Harvey West,9,1,10,20,50%,461
Havenwood,1,,1,2,50%,379
Hawk Ridge,1,,,1,0%,1440
Hawkridge,,1,,1,0%,1175
Hearthfire,,,2,2,100%,1047
Heather Ridge,12,14,33,59,56%,286
Heatherwood,1,,1,2,50%,619
Heckendorf Ranch,2,1,6,9,67%,646
Heirloom,1,,3,4,75%,745
Heritage (E),1,,3,4,75%,381
Heritage Dells,,2,1,3,33%,797
Heritage Eagle Bend,8,,5,13,38%,630
Heritage Estates,1,,,1,0%,1550
Heritage Greens,3,1,6,10,60%,966
Heritage Hills,4,3,4,11,36%,1308
Heritage Village,2,3,12,17,71%,642
Hidden Creek Park,3,7,20,30,67%,385
Hidden Lake,6,1,18,25,72%,406
Hidden River,2,,10,12,83%,521
Hidden Village,,1,,1,0%,780
Higby Estates,,,1,1,100%,1350
High Forest Ranch,,1,,1,0%,1165
High Prairie 1,1,,4,5,80%,1006
High Prairie 2,1,1,1,3,33%,1113
Highland Central,6,4,10,20,50%,747
Highland East,36,29,34,99,34%,754
Highland Hills East,,1,10,11,91%,433
Highland Hills West,,1,5,6,83%,343
Highland Park,4,2,10,16,63%,579
Highland Park South,1,1,1,3,33%,469
Highland West,9,,19,28,68%,799
Highlander Heights,1,,,1,0%,456
Highlands East,4,6,21,31,68%,500
Highpoint,,3,26,29,90%,406
Hillcrest,,2,18,20,90%,341
Hillcrest Village,4,3,5,12,42%,354
Hilldale Pines,,1,2,3,67%,583
Hills at Cherry Creek,3,8,18,29,62%,777
Hillside,1,,1,2,50%,215
Hilltop East,2,4,4,10,40%,1027
Hilltop West,12,7,5,24,21%,1574
Historic Ft Collins High School Nhood Assoc,,2,,2,0%,508
Hiwan Hills,1,,4,5,80%,902
Hoffman Heights,4,1,25,30,83%,362
Holiday,1,1,,2,0%,390
Holland Park,,1,,1,0%,240
Holly Hills,3,1,8,12,67%,628
Home Farm,8,8,16,32,50%,293
Homestead (A),6,4,18,28,64%,668
Homestead (B),,,1,1,100%,700
Homestead (J),1,1,3,5,60%,963
Homestead at Jackson Creek,,,1,1,100%,590
Homestead Hills 1,,,1,1,100%,1011
Homestead Hills 2,1,4,,5,0%,810
Horse Creek,,,3,3,100%,624
Horseshoe Ridge,,1,2,3,67%,615
Hunter Creek Condos,3,,,3,0%,303
Hunters Glen,3,4,17,24,71%,414
Hunter's Ridge,,1,2,3,67%,445
Huntington Hills Homeowners Association,1,,,1,0%,431
Huron Crossing,4,3,5,12,42%,364
Huron Green,11,8,15,34,44%,270
Hutchingsons Green Mountain Village,1,5,14,20,70%,614
Hutchinson Hts,1,,23,24,96%,374
Hyland Green East,1,1,6,8,75%,460
Hyland Green West,2,2,5,9,56%,681
Idyllwilde,4,6,7,17,41%,748
Indian Creek,6,7,25,38,66%,362
Indian Hills (J),2,,2,4,50%,684
Indian Hills (L),,,1,1,100%,450
Indigo Ranch at SR,,,1,1,100%,461
Iris Hollow,,,1,1,100%,305
Jackson Creek,1,,3,4,75%,467
Jefferson Green,12,6,29,47,62%,350
Jefferson Park,8,18,18,44,41%,586
Jefferson Place,,,1,1,100%,1517
Jordan Crossing,,1,,1,0%,510
Juniper / Kalmia,1,,,1,0%,3015
Kassler,1,2,11,14,79%,509
Kawanee Gardens,5,3,5,13,38%,502
Keewaydin,2,1,1,4,25%,409
Ken Caryl Ranch Highlands,1,,,1,0%,1600
Ken Caryl Ranch Plains,5,1,14,20,70%,675
"Ken Caryl Ranch, The Valley",6,1,5,12,42%,786
Kensington,,,1,1,100%,430
Ketring,2,1,4,7,57%,485
Kettle Creek,,,1,1,100%,356
Kings Deer Highlands,,,4,4,100%,1017
Kings Ridge,,1,,1,0%,146
Kings Valley,,1,2,3,67%,587
Kingsborough,5,1,29,35,83%,328
Kipling Villas,1,1,7,9,78%,434
Kissing Camels,1,,,1,0%,340
Kittredge,3,1,6,10,60%,748
Kitty Hawk,,,1,1,100%,372
Knob Hill,1,,2,3,67%,262
Lac Amora,,1,8,9,89%,499
Lake Arbor,3,5,25,33,76%,404
Lake of the Rockies,1,2,1,4,25%,619
Lake Sherwood Corporation,,,1,1,100%,350
Lake Valley Estates,,,1,1,100%,1126
Lakecrest,,1,9,10,90%,572
Lakehurst,1,2,9,12,75%,495
Lakewood,12,4,11,27,41%,452
Lakewood Hills,10,4,16,30,53%,296
Lamar Heights East,4,,18,22,82%,464
Lamar Heights West,3,2,4,9,44%,528
Lambertson Farms,1,,2,3,67%,1118
Lambertson Lakes,5,15,19,39,49%,409
Lamplighter,,,5,5,100%,653
Laurie,,,1,1,100%,665
Lazy Hills,,,1,1,100%,954
Leawood,3,2,5,10,50%,752
Legacy Ridge,5,4,8,17,47%,860
Leyden Ranch,1,1,1,3,33%,906
Leyden Rock,7,5,17,29,59%,754
Lincoln Creek Village,6,1,2,9,22%,464
Lincoln Exec Ctr,5,2,2,9,22%,640
Lincoln Park,13,13,18,44,41%,478
Lind,2,,1,3,33%,380
Linda Vista,3,3,10,16,63%,386
Lochwood,1,3,5,9,56%,379
Logandale,3,1,14,18,78%,489
Lone Tree,8,2,16,26,62%,758
Lone Tree - Ridge View,3,4,6,13,46%,753
Longs View,1,,,1,0%,1770
Louisville North,1,,1,2,50%,679
